明日はなんとかなると思う馬鹿者。今日でさえ遅すぎるのだ。賢者はもう昨日済ましている。,勉強の名言,チャールズ・クーリー
学問なんて、覚えると同時に忘れてしまってもいいものなんだ。けれども、全部忘れてしまっても、その勉強の訓練の底に一つかみの砂金が残っているものだ。これだ。これが貴いのだ。勉強しなければいかん。,勉強の名言,太宰治
長い人生には必ず浮沈がある。しかし、努力勉強は必ず報われる。,勉強の名言,野口英世
天才？そんなものは決してない。ただ勉強です。方法です。不断に計画しているということです。,勉強の名言,ロダン
どんなに勉強し、勤勉であっても、上手くいかないこともある。これは機がまだ熟していないからであるから、ますます自らを鼓舞して耐えなければならない。,勉強の名言,渋沢栄一
自分を信じよう。勉強して、もっと良い世界を築こうという気持ちを忘れないで。,勉強の名言,メアリ・マクロード・ブスーン
誰よりも三倍、四倍、五倍勉強する者、それが天才だ。,勉強の名言,野口英世
学ぶことで才能は開花する。志がなければ、学問の完成はない。,勉強の名言,諸葛孔明
他人が自分より優れていたとしても、それは恥ではない。しかし、去年の自分より今年の自分が優れていないのは立派な恥だ,勉強の名言,ジョンラボック
天才とは努力する凡才のことである。,勉強の名言,アインシュタイン
不潔な工場に善良な職工なし,仕事に関する名言,ヘンリー・フォード
ビジネスにおける最悪のミスは、うまくいかない時ではなく、うまくいっている時になされる,仕事に関する名言,トーマス・J・ワトソン
世に卑しい職業はなく、ただ卑しい人があるのみである,仕事に関する名言,リンカーン
仕事は仲間をつくる,仕事に関する名言,ゲーテ
仕事は高貴なる心の栄養なり,仕事に関する名言,セネカ
仕事の真の本質は集中されたエネルギーである,仕事に関する名言,バジョット
報酬以上の仕事をしないという人は、仕事ぶりに応じて報酬が上がっていくということを忘れている,仕事に関する名言,エルバート・ハバード
ビジネスには大義名分が必要なり,仕事に関する名言,客家
困難な仕事でも、あきらめずにがんばればうまくいきます,仕事に関する名言,ヘレン・ケラー
こころよき疲れなるかな息もつかず仕事をしたる後のこのこの疲れ,仕事に関する名言,石川啄木
人間にとっていちばん大切なことは、各自の仕事に進歩を求めて励むことだ,仕事に関する名言,ミレー
人並の人間が、人並の働きで終わっておれば、人並のことしかできない,仕事に関する名言,鈴木三郎助
平凡なことを毎日平凡な気持ちで実行することが、すなわち非凡なのである,仕事に関する名言,ジード
心を込めて仕事をしなさい．そうすればあなたは必ず成功する．なぜなら、そういう人はほとんどいないからである．,仕事に関する名言,エルバート・ハバード
仕事は自分で見つけるべきものだ．また職業は自分でこしらえるべきものだ．その心がけさえあれば、仕事、職業は無限にある．,仕事に関する名言,豊田佐吉
仕事をする時は上機嫌でやれ．そうすれば仕事もはかどるし、身体も疲れない．,仕事に関する名言,ワーグナー
大変な仕事だと思っても、まずとりかかってみなさい．仕事に手をつけた、それで半分の仕事は終わってしまったのです．,仕事に関する名言,アウソニウス
取るに足らないと思っても、仕事をむげに断ってはいけない．その仕事が何をもたらすか、やってみなければ分からないのですから．,仕事に関する名言,ジュリア・モーガン
仕事は探してやるものだ．自分が創り出すものだ．与えられた仕事だけやるのは雑兵だ．,仕事に関する名言,織田信長
自分の仕事を愛し、その日の仕事を完全に成し遂げて満足した．こんな軽い気持ちで晩餐の宅に帰れる人が世にもっとも幸福な人である．,仕事に関する名言,ジョン・ワナメーカー
愛はお互いを見つめ合うことではなく、ともに同じ方向を見つめることである。,恋愛に関する名言,アントワーヌ・ド・サン＝テグジュペリ
あなたがいないときに愛は研ぎ澄まされ、あなたといるときに愛は強くなる。,恋愛に関する名言,トーマス・フラー
愛とかゆみと咳だけは、どんなことをしたって、隠し通すことのできないものである。,恋愛に関する名言,トーマス・フラー
恋愛の徴候の一つは彼女に似た顔を発見することに極度に鋭敏になることである。,恋愛に関する名言,芥川龍之介
人が恋に落ちるのは万有引力のせいではない。,恋愛に関する名言,アインシュタイン
困難を予期するな。決して起こらないかも知れぬことに心を悩ますな。常に心に太陽を持て。,勇気をもらえる名言,ベンジャミン・フランクリン
お前の道を進め、人には勝手なことを言わせておけ。,勇気をもらえる名言,ダンテ・アリギエーリ
自分の道を進む人は、誰でも英雄です,勇気をもらえる名言,アルフレッド・テニスン
疑わずに最初の一段を登りなさい。階段のすべてが見えなくてもいい。とにかく最初の一歩を踏み出すのです。,勇気をもらえる名言,キング牧師
人生はどちらかです。勇気をもって挑むか、棒にふるか。,勇気をもらえる名言,ヘレン・ケラー
成功があがりでもなければ、失敗が終わりでもない。肝心なのは、続ける勇気である。,勇気をもらえる名言,ウィンストン・チャーチル
どんな人間も、自分が思っている以上のことができる。,勇気をもらえる名言,ヘンリー・フォー
何でも思い切ってやってみることですよ。どっちに転んだって人間、野辺の石ころ同様、骨となって一生を終えるのだから。,勇気をもらえる名言,坂本龍馬
世界はつねに、勇気ある者のための劇場である。,勇気をもらえる名言,ウィリアム・ジェームズ
人生は一冊の書物に似ている。愚かな者はパラパラとそれをめくっていくが、賢い者は丹念にそれを読む。なぜなら彼は、ただ一度しかそれを読めないことを知っているからだ。,努力に関する名言,ジャン・パウル
天才とは努力する凡才のことである。,努力に関する名言,アインシュタイン
自分がちっぽけに思えても、不屈の精神があればその気持ちに打ち勝つことができる。,努力に関する名言,エレン・グラスゴー
私たちの人生は、私たちが費やした努力だけの価値がある。,努力に関する名言,モーリアック
満足感は結果にではなく、過程にこそある。,努力に関する名言,ジェームズ・ディーン
天才なんかあるものか。僕は他人がコーヒーを飲んでいる時間に仕事をしただけだ。,努力に関する名言,魯迅
苦しいという言葉だけはどんなことがあっても言わないでおこうじゃないか。,努力に関する名言,高杉晋作
